QUEST ID,BRANDMOSTUSED,30DAYBRAND,BRAND TYPE,,,,
13357767,101,4,full flavoured,,,,
13683038,101,4,full flavoured,,,,
14359100,101,4,full flavoured,,,,
19027986,101,4,full flavoured,,,,
19337677,101,4,full flavoured,,,,
20047969,101,4,full flavoured,,,,
27343829,101,4,full flavoured,,,,
37720445,101,4,full flavoured,,,,
39189436,101,4,full flavoured,,,,
39656027,101,4,full flavoured,,,,
40223057,101,4,full flavoured,,,,
43330278,101,4,full flavoured,,,,
43447036,101,4,full flavoured,,,,
45196915,101,4,full flavoured,,,,
45280470,101,4,full flavoured,,,,
45738304,101,4,full flavoured,,,,
47124238,101,4,full flavoured,,,,
47676418,101,4,full flavoured,,,,
49808097,101,4,full flavoured,,,,
51200220,101,4,full flavoured,,,,
53585439,101,4,full flavoured,,,,
57112443,101,4,full flavoured,,,,
57141299,101,4,full flavoured,,,,
57194364,101,4,full flavoured,,,,
57701625,101,4,full flavoured,,,,
59503493,101,4,full flavoured,,,,
63027994,101,4,full flavoured,,,,
63302510,101,4,full flavoured,,,,
64839850,101,4,full flavoured,,,,
65055778,101,4,full flavoured,,,,
65566406,101,4,full flavoured,,,,
67019949,101,4,full flavoured,,,,
73231537,101,4,full flavoured,,,,
73479844,101,4,full flavoured,,,,
73563437,101,4,full flavoured,,,,
77519348,101,4,full flavoured,,,,
79558710,101,4,full flavoured,,,,
81716747,101,4,full flavoured,,,,
83575893,101,4,full flavoured,,,,
83576963,101,4,full flavoured,,,,
85359384,101,4,full flavoured,,,,
87188739,101,4,full flavoured,,,,
87379499,101,4,full flavoured,,,,
89633700,101,4,full flavoured,,,,
89904264,101,4,full flavoured,,,,
91267918,101,4,full flavoured,,,,
91522184,101,4,full flavoured,,,,
91806870,101,4,full flavoured,,,,
94840023,101,4,full flavoured,,,,
96037534,101,4,full flavoured,,,,
96481048,101,4,full flavoured,,,,
97298215,101,4,full flavoured,,,,
99280695,101,4,full flavoured,,,,
13529797,102,1,Light brand,,,,
19218547,102,1,Light brand,,,,
47595215,102,1,Light brand,,,,
53177808,102,1,Light brand,,,,
59162724,102,1,Light brand,,,,
72381560,102,1,Light brand,,,,
81476049,102,1,Light brand,,,,
77358260,102,2,Ultra light,,,,
95954529,102,2,Ultra light,,,,
15129043,102,3,Medium,,,,
31063568,102,3,Medium,,,,
81110960,102,3,Medium,,,,
37697563,102,4,full flavoured,,,,
57326397,102,4,full flavoured,,,,
59586799,102,4,full flavoured,,,,
63298226,102,4,full flavoured,,,,
79373576,102,4,full flavoured,,,,
79649433,102,4,full flavoured,,,,
81528459,102,4,full flavoured,,,,
97608698,102,4,full flavoured,,,,
10025275,104,1,Light brand,,,,
10031799,104,1,Light brand,,,,
10678355,104,1,Light brand,,,,
10890545,104,1,Light brand,,,,
10942953,104,1,Light brand,,,,
11013436,104,1,Light brand,,,,
11074463,104,1,Light brand,,,,
11153243,104,1,Light brand,,,,
11188455,104,1,Light brand,,,,
11212148,104,1,Light brand,,,,
11388024,104,1,Light brand,,,,
11555325,104,1,Light brand,,,,
11631989,104,1,Light brand,,,,
11837693,104,1,Light brand,,,,
11900137,104,1,Light brand,,,,
11928626,104,1,Light brand,,,,
11965746,104,1,Light brand,,,,
12415433,104,1,Light brand,,,,
12737720,104,1,Light brand,,,,
12752396,104,1,Light brand,,,,
13020209,104,1,Light brand,,,,
13520518,104,1,Light brand,,,,
13561405,104,1,Light brand,,,,
13562428,104,1,Light brand,,,,
13628783,104,1,Light brand,,,,
13671823,104,1,Light brand,,,,
13772978,104,1,Light brand,,,,
13834400,104,1,Light brand,,,,
13855506,104,1,Light brand,,,,
14283709,104,1,Light brand,,,,
14470268,104,1,Light brand,,,,
14668400,104,1,Light brand,,,,
15101134,104,1,Light brand,,,,
15121085,104,1,Light brand,,,,
15211359,104,1,Light brand,,,,
15262377,104,1,Light brand,,,,
15405093,104,1,Light brand,,,,
15526383,104,1,Light brand,,,,
15564440,104,1,Light brand,,,,
15610466,104,1,Light brand,,,,
15625934,104,1,Light brand,,,,
15656430,104,1,Light brand,,,,
15677904,104,1,Light brand,,,,
15723500,104,1,Light brand,,,,
15870237,104,1,Light brand,,,,
15921798,104,1,Light brand,,,,
15987888,104,1,Light brand,,,,
15998608,104,1,Light brand,,,,
16170264,104,1,Light brand,,,,
16456690,104,1,Light brand,,,,
16535640,104,1,Light brand,,,,
16686229,104,1,Light brand,,,,
16868776,104,1,Light brand,,,,
17394909,104,1,Light brand,,,,
17520417,104,1,Light brand,,,,
17937133,104,1,Light brand,,,,
18286777,104,1,Light brand,,,,
19266627,104,1,Light brand,,,,
19330888,104,1,Light brand,,,,
19558616,104,1,Light brand,,,,
19631363,104,1,Light brand,,,,
19632065,104,1,Light brand,,,,
19742389,104,1,Light brand,,,,
19815423,104,1,Light brand,,,,
19882667,104,1,Light brand,,,,
19998598,104,1,Light brand,,,,
20219480,104,1,Light brand,,,,
21049109,104,1,Light brand,,,,
21163119,104,1,Light brand,,,,
21345119,104,1,Light brand,,,,
21391206,104,1,Light brand,,,,
21547438,104,1,Light brand,,,,
21897989,104,1,Light brand,,,,
21987376,104,1,Light brand,,,,
22100664,104,1,Light brand,,,,
22573395,104,1,Light brand,,,,
22800028,104,1,Light brand,,,,
22823718,104,1,Light brand,,,,
22899997,104,1,Light brand,,,,
22919669,104,1,Light brand,,,,
23088365,104,1,Light brand,,,,
23161746,104,1,Light brand,,,,
23185163,104,1,Light brand,,,,
23344487,104,1,Light brand,,,,
23403265,104,1,Light brand,,,,
23442190,104,1,Light brand,,,,
23476223,104,1,Light brand,,,,
23506263,104,1,Light brand,,,,
23618859,104,1,Light brand,,,,
23735716,104,1,Light brand,,,,
23843348,104,1,Light brand,,,,
24074003,104,1,Light brand,,,,
24534618,104,1,Light brand,,,,
24915383,104,1,Light brand,,,,
25056829,104,1,Light brand,,,,
25066975,104,1,Light brand,,,,
25111977,104,1,Light brand,,,,
25175290,104,1,Light brand,,,,
25202449,104,1,Light brand,,,,
25364234,104,1,Light brand,,,,
25402004,104,1,Light brand,,,,
25403443,104,1,Light brand,,,,
25552630,104,1,Light brand,,,,
25609199,104,1,Light brand,,,,
25610300,104,1,Light brand,,,,
25677763,104,1,Light brand,,,,
25703658,104,1,Light brand,,,,
25772944,104,1,Light brand,,,,
25791566,104,1,Light brand,,,,
25822515,104,1,Light brand,,,,
25825773,104,1,Light brand,,,,
25847623,104,1,Light brand,,,,
26059907,104,1,Light brand,,,,
26408000,104,1,Light brand,,,,
26837605,104,1,Light brand,,,,
26844983,104,1,Light brand,,,,
27184958,104,1,Light brand,,,,
27242900,104,1,Light brand,,,,
27268104,104,1,Light brand,,,,
27295768,104,1,Light brand,,,,
27331619,104,1,Light brand,,,,
27381190,104,1,Light brand,,,,
27417608,104,1,Light brand,,,,
27529917,104,1,Light brand,,,,
27628267,104,1,Light brand,,,,
27682768,104,1,Light brand,,,,
27704760,104,1,Light brand,,,,
27788717,104,1,Light brand,,,,
27906655,104,1,Light brand,,,,
27943379,104,1,Light brand,,,,
27997844,104,1,Light brand,,,,
28099569,104,1,Light brand,,,,
28355167,104,1,Light brand,,,,
29103744,104,1,Light brand,,,,
29106780,104,1,Light brand,,,,
29239709,104,1,Light brand,,,,
29378154,104,1,Light brand,,,,
29488746,104,1,Light brand,,,,
29489500,104,1,Light brand,,,,
29643426,104,1,Light brand,,,,
29808413,104,1,Light brand,,,,
29944175,104,1,Light brand,,,,
30005569,104,1,Light brand,,,,
30210404,104,1,Light brand,,,,
31114336,104,1,Light brand,,,,
31225706,104,1,Light brand,,,,
31248820,104,1,Light brand,,,,
31321454,104,1,Light brand,,,,
31518940,104,1,Light brand,,,,
31535865,104,1,Light brand,,,,
31542676,104,1,Light brand,,,,
31624267,104,1,Light brand,,,,
31643859,104,1,Light brand,,,,
31654358,104,1,Light brand,,,,
31791167,104,1,Light brand,,,,
31872530,104,1,Light brand,,,,
31893265,104,1,Light brand,,,,
31950429,104,1,Light brand,,,,
32286549,104,1,Light brand,,,,
32619623,104,1,Light brand,,,,
33131783,104,1,Light brand,,,,
33135818,104,1,Light brand,,,,
33267078,104,1,Light brand,,,,
33276813,104,1,Light brand,,,,
33357357,104,1,Light brand,,,,
33436213,104,1,Light brand,,,,
33559299,104,1,Light brand,,,,
33763139,104,1,Light brand,,,,
33898836,104,1,Light brand,,,,
33924378,104,1,Light brand,,,,
33970375,104,1,Light brand,,,,
34205274,104,1,Light brand,,,,
34739337,104,1,Light brand,,,,
35016758,104,1,Light brand,,,,
35197745,104,1,Light brand,,,,
35219794,104,1,Light brand,,,,
35230697,104,1,Light brand,,,,
35262339,104,1,Light brand,,,,
35535037,104,1,Light brand,,,,
35548879,104,1,Light brand,,,,
35567123,104,1,Light brand,,,,
35708707,104,1,Light brand,,,,
35715326,104,1,Light brand,,,,
35850040,104,1,Light brand,,,,
35880298,104,1,Light brand,,,,
35923924,104,1,Light brand,,,,
36281224,104,1,Light brand,,,,
36770807,104,1,Light brand,,,,
36824358,104,1,Light brand,,,,
36883338,104,1,Light brand,,,,
37019204,104,1,Light brand,,,,
37146594,104,1,Light brand,,,,
37171503,104,1,Light brand,,,,
37341199,104,1,Light brand,,,,
37355615,104,1,Light brand,,,,
37454615,104,1,Light brand,,,,
37477050,104,1,Light brand,,,,
37515260,104,1,Light brand,,,,
37634999,104,1,Light brand,,,,
37737884,104,1,Light brand,,,,
37775258,104,1,Light brand,,,,
38282553,104,1,Light brand,,,,
38893389,104,1,Light brand,,,,
39012079,104,1,Light brand,,,,
39169674,104,1,Light brand,,,,
39243495,104,1,Light brand,,,,
39261540,104,1,Light brand,,,,
39333113,104,1,Light brand,,,,
39334264,104,1,Light brand,,,,
39414798,104,1,Light brand,,,,
39444667,104,1,Light brand,,,,
39478733,104,1,Light brand,,,,
39517003,104,1,Light brand,,,,
39524735,104,1,Light brand,,,,
39547330,104,1,Light brand,,,,
39643587,104,1,Light brand,,,,
39815258,104,1,Light brand,,,,
40367857,104,1,Light brand,,,,
40526696,104,1,Light brand,,,,
40946404,104,1,Light brand,,,,
41009265,104,1,Light brand,,,,
41080628,104,1,Light brand,,,,
41164670,104,1,Light brand,,,,
41188474,104,1,Light brand,,,,
41222736,104,1,Light brand,,,,
41234193,104,1,Light brand,,,,
41357310,104,1,Light brand,,,,
41431504,104,1,Light brand,,,,
41491007,104,1,Light brand,,,,
41504170,104,1,Light brand,,,,
41513679,104,1,Light brand,,,,
41583559,104,1,Light brand,,,,
41584770,104,1,Light brand,,,,
41597716,104,1,Light brand,,,,
41605184,104,1,Light brand,,,,
41850199,104,1,Light brand,,,,
42152158,104,1,Light brand,,,,
42450039,104,1,Light brand,,,,
42484233,104,1,Light brand,,,,
43009867,104,1,Light brand,,,,
43014586,104,1,Light brand,,,,
43044049,104,1,Light brand,,,,
43054840,104,1,Light brand,,,,
43185177,104,1,Light brand,,,,
43299867,104,1,Light brand,,,,
43400945,104,1,Light brand,,,,
43486095,104,1,Light brand,,,,
43735924,104,1,Light brand,,,,
43749920,104,1,Light brand,,,,
43835768,104,1,Light brand,,,,
43862686,104,1,Light brand,,,,
43867528,104,1,Light brand,,,,
44098279,104,1,Light brand,,,,
44296835,104,1,Light brand,,,,
44496075,104,1,Light brand,,,,
44625703,104,1,Light brand,,,,
45006566,104,1,Light brand,,,,
45138849,104,1,Light brand,,,,
45301449,104,1,Light brand,,,,
45329528,104,1,Light brand,,,,
45399173,104,1,Light brand,,,,
45771034,104,1,Light brand,,,,
45793890,104,1,Light brand,,,,
45805416,104,1,Light brand,,,,
45977139,104,1,Light brand,,,,
45999018,104,1,Light brand,,,,
46259190,104,1,Light brand,,,,
46460428,104,1,Light brand,,,,
46545248,104,1,Light brand,,,,
46571605,104,1,Light brand,,,,
46582505,104,1,Light brand,,,,
46626136,104,1,Light brand,,,,
46841423,104,1,Light brand,,,,
46906037,104,1,Light brand,,,,
47046947,104,1,Light brand,,,,
47114069,104,1,Light brand,,,,
47371974,104,1,Light brand,,,,
47462068,104,1,Light brand,,,,
47539247,104,1,Light brand,,,,
47552446,104,1,Light brand,,,,
47643610,104,1,Light brand,,,,
47686629,104,1,Light brand,,,,
47753350,104,1,Light brand,,,,
47947103,104,1,Light brand,,,,
48248455,104,1,Light brand,,,,
48442107,104,1,Light brand,,,,
48662307,104,1,Light brand,,,,
49065638,104,1,Light brand,,,,
49090605,104,1,Light brand,,,,
49138244,104,1,Light brand,,,,
49242688,104,1,Light brand,,,,
49307114,104,1,Light brand,,,,
49307618,104,1,Light brand,,,,
49355935,104,1,Light brand,,,,
49416603,104,1,Light brand,,,,
49496573,104,1,Light brand,,,,
49634885,104,1,Light brand,,,,
49724357,104,1,Light brand,,,,
49857724,104,1,Light brand,,,,
49896924,104,1,Light brand,,,,
49977934,104,1,Light brand,,,,
50157043,104,1,Light brand,,,,
50610256,104,1,Light brand,,,,
51079460,104,1,Light brand,,,,
51079776,104,1,Light brand,,,,
51195475,104,1,Light brand,,,,
51294494,104,1,Light brand,,,,
51301149,104,1,Light brand,,,,
51316815,104,1,Light brand,,,,
51384870,104,1,Light brand,,,,
51462330,104,1,Light brand,,,,
51564193,104,1,Light brand,,,,
51592158,104,1,Light brand,,,,
51670570,104,1,Light brand,,,,
51903678,104,1,Light brand,,,,
52159036,104,1,Light brand,,,,
52454924,104,1,Light brand,,,,
52569487,104,1,Light brand,,,,
53070775,104,1,Light brand,,,,
53269549,104,1,Light brand,,,,
53362716,104,1,Light brand,,,,
53399857,104,1,Light brand,,,,
53509619,104,1,Light brand,,,,
53600529,104,1,Light brand,,,,
53641567,104,1,Light brand,,,,
53703050,104,1,Light brand,,,,
53748983,104,1,Light brand,,,,
53784400,104,1,Light brand,,,,
53845097,104,1,Light brand,,,,
53848459,104,1,Light brand,,,,
53914893,104,1,Light brand,,,,
54004204,104,1,Light brand,,,,
54020666,104,1,Light brand,,,,
54249055,104,1,Light brand,,,,
54524676,104,1,Light brand,,,,
54800103,104,1,Light brand,,,,
54841853,104,1,Light brand,,,,
55045586,104,1,Light brand,,,,
55070444,104,1,Light brand,,,,
55222678,104,1,Light brand,,,,
55373163,104,1,Light brand,,,,
55413404,104,1,Light brand,,,,
55445017,104,1,Light brand,,,,
55453466,104,1,Light brand,,,,
55534868,104,1,Light brand,,,,
55583217,104,1,Light brand,,,,
55618698,104,1,Light brand,,,,
55633793,104,1,Light brand,,,,
55769423,104,1,Light brand,,,,
55995506,104,1,Light brand,,,,
56276388,104,1,Light brand,,,,
56488427,104,1,Light brand,,,,
56544989,104,1,Light brand,,,,
57061924,104,1,Light brand,,,,
57098084,104,1,Light brand,,,,
57139050,104,1,Light brand,,,,
57187377,104,1,Light brand,,,,
57227477,104,1,Light brand,,,,
57229928,104,1,Light brand,,,,
57259289,104,1,Light brand,,,,
57270880,104,1,Light brand,,,,
57276769,104,1,Light brand,,,,
57299276,104,1,Light brand,,,,
57334608,104,1,Light brand,,,,
57354719,104,1,Light brand,,,,
57364266,104,1,Light brand,,,,
57367185,104,1,Light brand,,,,
57401995,104,1,Light brand,,,,
57434844,104,1,Light brand,,,,
57465374,104,1,Light brand,,,,
57673810,104,1,Light brand,,,,
57762213,104,1,Light brand,,,,
57994190,104,1,Light brand,,,,
58371407,104,1,Light brand,,,,
58534220,104,1,Light brand,,,,
58655646,104,1,Light brand,,,,
58762236,104,1,Light brand,,,,
59027608,104,1,Light brand,,,,
59039748,104,1,Light brand,,,,
59074633,104,1,Light brand,,,,
59175646,104,1,Light brand,,,,
59209250,104,1,Light brand,,,,
59259825,104,1,Light brand,,,,
59415047,104,1,Light brand,,,,
59428253,104,1,Light brand,,,,
59751577,104,1,Light brand,,,,
59824644,104,1,Light brand,,,,
59833356,104,1,Light brand,,,,
59837170,104,1,Light brand,,,,
59866747,104,1,Light brand,,,,
59999917,104,1,Light brand,,,,
60097917,104,1,Light brand,,,,
60125410,104,1,Light brand,,,,
60297308,104,1,Light brand,,,,
60360049,104,1,Light brand,,,,
60490103,104,1,Light brand,,,,
60854079,104,1,Light brand,,,,
61117387,104,1,Light brand,,,,
61179125,104,1,Light brand,,,,
61195408,104,1,Light brand,,,,
61328733,104,1,Light brand,,,,
61348844,104,1,Light brand,,,,
61443346,104,1,Light brand,,,,
61571980,104,1,Light brand,,,,
61577124,104,1,Light brand,,,,
61610393,104,1,Light brand,,,,
61787089,104,1,Light brand,,,,
61839828,104,1,Light brand,,,,
62032250,104,1,Light brand,,,,
62285709,104,1,Light brand,,,,
62337935,104,1,Light brand,,,,
62379637,104,1,Light brand,,,,
63117678,104,1,Light brand,,,,
63202039,104,1,Light brand,,,,
63315287,104,1,Light brand,,,,
63430678,104,1,Light brand,,,,
63464456,104,1,Light brand,,,,
63632619,104,1,Light brand,,,,
63640223,104,1,Light brand,,,,
63754804,104,1,Light brand,,,,
63809279,104,1,Light brand,,,,
63985418,104,1,Light brand,,,,
64256480,104,1,Light brand,,,,
64290668,104,1,Light brand,,,,
64518449,104,1,Light brand,,,,
64567246,104,1,Light brand,,,,
64829903,104,1,Light brand,,,,
65023046,104,1,Light brand,,,,
65065763,104,1,Light brand,,,,
65129468,104,1,Light brand,,,,
65175337,104,1,Light brand,,,,
65191475,104,1,Light brand,,,,
65254278,104,1,Light brand,,,,
65280620,104,1,Light brand,,,,
65293416,104,1,Light brand,,,,
65347880,104,1,Light brand,,,,
65398210,104,1,Light brand,,,,
65424209,104,1,Light brand,,,,
65492883,104,1,Light brand,,,,
65499714,104,1,Light brand,,,,
65728074,104,1,Light brand,,,,
65787615,104,1,Light brand,,,,
65876197,104,1,Light brand,,,,
65891046,104,1,Light brand,,,,
65978115,104,1,Light brand,,,,
66139853,104,1,Light brand,,,,
67013518,104,1,Light brand,,,,
67043406,104,1,Light brand,,,,
67093299,104,1,Light brand,,,,
67243730,104,1,Light brand,,,,
67506987,104,1,Light brand,,,,
67582858,104,1,Light brand,,,,
67754717,104,1,Light brand,,,,
67775305,104,1,Light brand,,,,
67786488,104,1,Light brand,,,,
67862608,104,1,Light brand,,,,
67863636,104,1,Light brand,,,,
67942964,104,1,Light brand,,,,
68176364,104,1,Light brand,,,,
68960444,104,1,Light brand,,,,
69024039,104,1,Light brand,,,,
69098333,104,1,Light brand,,,,
69196847,104,1,Light brand,,,,
69217463,104,1,Light brand,,,,
69319329,104,1,Light brand,,,,
69479488,104,1,Light brand,,,,
69480137,104,1,Light brand,,,,
69557344,104,1,Light brand,,,,
69657589,104,1,Light brand,,,,
69686746,104,1,Light brand,,,,
69689368,104,1,Light brand,,,,
69716055,104,1,Light brand,,,,
69731386,104,1,Light brand,,,,
69742690,104,1,Light brand,,,,
69743888,104,1,Light brand,,,,
69751157,104,1,Light brand,,,,
69902788,104,1,Light brand,,,,
70238370,104,1,Light brand,,,,
70727143,104,1,Light brand,,,,
70963333,104,1,Light brand,,,,
71021243,104,1,Light brand,,,,
71077206,104,1,Light brand,,,,
71110296,104,1,Light brand,,,,
71200575,104,1,Light brand,,,,
71220327,104,1,Light brand,,,,
71276946,104,1,Light brand,,,,
71314425,104,1,Light brand,,,,
71349599,104,1,Light brand,,,,
71443488,104,1,Light brand,,,,
71492574,104,1,Light brand,,,,
71543666,104,1,Light brand,,,,
71573485,104,1,Light brand,,,,
71590026,104,1,Light brand,,,,
71758803,104,1,Light brand,,,,
71808375,104,1,Light brand,,,,
71925784,104,1,Light brand,,,,
72856063,104,1,Light brand,,,,
72975434,104,1,Light brand,,,,
73014195,104,1,Light brand,,,,
73111058,104,1,Light brand,,,,
73144186,104,1,Light brand,,,,
73155463,104,1,Light brand,,,,
73227163,104,1,Light brand,,,,
73327718,104,1,Light brand,,,,
73363599,104,1,Light brand,,,,
73562838,104,1,Light brand,,,,
73701004,104,1,Light brand,,,,
73786659,104,1,Light brand,,,,
73801995,104,1,Light brand,,,,
73842339,104,1,Light brand,,,,
73857618,104,1,Light brand,,,,
75012859,104,1,Light brand,,,,
75051737,104,1,Light brand,,,,
75067248,104,1,Light brand,,,,
75201807,104,1,Light brand,,,,
75234836,104,1,Light brand,,,,
75408474,104,1,Light brand,,,,
75543909,104,1,Light brand,,,,
75742367,104,1,Light brand,,,,
75758745,104,1,Light brand,,,,
76308983,104,1,Light brand,,,,
76543777,104,1,Light brand,,,,
76850998,104,1,Light brand,,,,
77150816,104,1,Light brand,,,,
77340340,104,1,Light brand,,,,
77356063,104,1,Light brand,,,,
77395188,104,1,Light brand,,,,
77523736,104,1,Light brand,,,,
77577258,104,1,Light brand,,,,
77651804,104,1,Light brand,,,,
77765773,104,1,Light brand,,,,
77781245,104,1,Light brand,,,,
77827907,104,1,Light brand,,,,
77887685,104,1,Light brand,,,,
77961613,104,1,Light brand,,,,
78011018,104,1,Light brand,,,,
78192435,104,1,Light brand,,,,
78378579,104,1,Light brand,,,,
78836874,104,1,Light brand,,,,
78911694,104,1,Light brand,,,,
79001929,104,1,Light brand,,,,
79223143,104,1,Light brand,,,,
79384409,104,1,Light brand,,,,
79490839,104,1,Light brand,,,,
79547820,104,1,Light brand,,,,
79721207,104,1,Light brand,,,,
79798060,104,1,Light brand,,,,
79838269,104,1,Light brand,,,,
79884204,104,1,Light brand,,,,
79919553,104,1,Light brand,,,,
79981634,104,1,Light brand,,,,
80049067,104,1,Light brand,,,,
80477709,104,1,Light brand,,,,
80524003,104,1,Light brand,,,,
80659709,104,1,Light brand,,,,
80914135,104,1,Light brand,,,,
81063770,104,1,Light brand,,,,
81077508,104,1,Light brand,,,,
81156449,104,1,Light brand,,,,
81198119,104,1,Light brand,,,,
81207887,104,1,Light brand,,,,
81268927,104,1,Light brand,,,,
81280170,104,1,Light brand,,,,
81374697,104,1,Light brand,,,,
81463863,104,1,Light brand,,,,
81569577,104,1,Light brand,,,,
81677784,104,1,Light brand,,,,
81724653,104,1,Light brand,,,,
81813866,104,1,Light brand,,,,
81890129,104,1,Light brand,,,,
81906304,104,1,Light brand,,,,
82009240,104,1,Light brand,,,,
82645669,104,1,Light brand,,,,
83055487,104,1,Light brand,,,,
83144573,104,1,Light brand,,,,
83344388,104,1,Light brand,,,,
83442299,104,1,Light brand,,,,
83447918,104,1,Light brand,,,,
83453716,104,1,Light brand,,,,
83491634,104,1,Light brand,,,,
83529976,104,1,Light brand,,,,
83553768,104,1,Light brand,,,,
83613055,104,1,Light brand,,,,
83654319,104,1,Light brand,,,,
83703495,104,1,Light brand,,,,
83761074,104,1,Light brand,,,,
83816468,104,1,Light brand,,,,
83888955,104,1,Light brand,,,,
83997817,104,1,Light brand,,,,
84173777,104,1,Light brand,,,,
84538348,104,1,Light brand,,,,
84543764,104,1,Light brand,,,,
84670333,104,1,Light brand,,,,
85194478,104,1,Light brand,,,,
85259247,104,1,Light brand,,,,
85446499,104,1,Light brand,,,,
85598465,104,1,Light brand,,,,
85648478,104,1,Light brand,,,,
85826857,104,1,Light brand,,,,
85984984,104,1,Light brand,,,,
86531954,104,1,Light brand,,,,
87136627,104,1,Light brand,,,,
87164229,104,1,Light brand,,,,
87192954,104,1,Light brand,,,,
87205767,104,1,Light brand,,,,
87391670,104,1,Light brand,,,,
87397286,104,1,Light brand,,,,
87466009,104,1,Light brand,,,,
87480708,104,1,Light brand,,,,
87485876,104,1,Light brand,,,,
87614195,104,1,Light brand,,,,
87786624,104,1,Light brand,,,,
87906853,104,1,Light brand,,,,
87944043,104,1,Light brand,,,,
88022183,104,1,Light brand,,,,
88366066,104,1,Light brand,,,,
88621388,104,1,Light brand,,,,
88818196,104,1,Light brand,,,,
88859667,104,1,Light brand,,,,
89008638,104,1,Light brand,,,,
89093359,104,1,Light brand,,,,
89166076,104,1,Light brand,,,,
89216340,104,1,Light brand,,,,
89277758,104,1,Light brand,,,,
89315208,104,1,Light brand,,,,
89323208,104,1,Light brand,,,,
89349820,104,1,Light brand,,,,
89483876,104,1,Light brand,,,,
89500880,104,1,Light brand,,,,
89538609,104,1,Light brand,,,,
89586916,104,1,Light brand,,,,
89752076,104,1,Light brand,,,,
89828548,104,1,Light brand,,,,
89851685,104,1,Light brand,,,,
89983539,104,1,Light brand,,,,
90143495,104,1,Light brand,,,,
90634087,104,1,Light brand,,,,
90642058,104,1,Light brand,,,,
90726624,104,1,Light brand,,,,
91054747,104,1,Light brand,,,,
91062988,104,1,Light brand,,,,
91065406,104,1,Light brand,,,,
91158533,104,1,Light brand,,,,
91596444,104,1,Light brand,,,,
91734138,104,1,Light brand,,,,
92018396,104,1,Light brand,,,,
92131646,104,1,Light brand,,,,
92410464,104,1,Light brand,,,,
92870738,104,1,Light brand,,,,
92911668,104,1,Light brand,,,,
92949859,104,1,Light brand,,,,
93049288,104,1,Light brand,,,,
93471174,104,1,Light brand,,,,
93476029,104,1,Light brand,,,,
93490593,104,1,Light brand,,,,
93567379,104,1,Light brand,,,,
93603735,104,1,Light brand,,,,
93708775,104,1,Light brand,,,,
93747196,104,1,Light brand,,,,
93820154,104,1,Light brand,,,,
93820526,104,1,Light brand,,,,
93924496,104,1,Light brand,,,,
95209545,104,1,Light brand,,,,
95263414,104,1,Light brand,,,,
95412017,104,1,Light brand,,,,
95423073,104,1,Light brand,,,,
95623647,104,1,Light brand,,,,
95754346,104,1,Light brand,,,,
95832514,104,1,Light brand,,,,
95915240,104,1,Light brand,,,,
95946685,104,1,Light brand,,,,
96422219,104,1,Light brand,,,,
96483284,104,1,Light brand,,,,
96542136,104,1,Light brand,,,,
97038684,104,1,Light brand,,,,
97138886,104,1,Light brand,,,,
97259307,104,1,Light brand,,,,
97264530,104,1,Light brand,,,,
